"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Verify that the search bar is working and the result is loading.","6336","Search pptx in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifypptxfileSearch"
"verify company login","1604","CompanyLogin","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","companyLogin"
"Verify that the search bar is working and the result is loading.","6768","Search a3dprt in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifya3dprtfileSearch"
"Verify that the search bar is working and the result is loading.","6670","Search dxf in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifydxfleSearch"
"Verify that the attribute search is working and the result is loading.","30046","attributesearch","Default Suite","2026-05-04","broken","2026-05-04","testclasses.HomepageTest","TestNGTest-fe931f57-6c2b-4f46-9bec-63049cadb52e","testclasses.HomepageTest","verifyattributesearch"
"Verify that the search bar is working and the result is loading.","7761","Search a3dasm in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifya3dfileSearch"
"Verify that all required icons and links are visible on the main dashboard.","3378","Verify Homepage Icons","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifyHomepage"
"Verify that the search bar is working and the result is loading.","7843","Search pdf in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifyfileSearch"
"Verify that the search bar is working and the result is loading.","7762","Search jpg in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifyjpgfileSearch"
"Verify that the search bar is working and the result is loading.","6595","Search tiff in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifytiffileSearch"
"Verify that the search bar is working and the result is loading.","6616","Search xlsx in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifyxlsxfileSearch"
"Verify that the search bar is working and the result is loading.","6367","Search csv in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifycsvfileSearch"
"Verify that the search bar is working and the result is loading.","6660","Search dwg in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifydwgfileSearch"
"Verify that the search bar is working and the result is loading.","6445","Search docx in searchbar","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","verifydocxfileSearch"
"verify user login","130","userLogin","Default Suite","2026-05-04","passed","2026-05-04","testclasses.HomepageTest","TestNGTest-23cf6c15-4d57-4686-a491-aff2f33e3372","testclasses.HomepageTest","userLogin"
